10012,Albany St @ Wareham St,42.338361,-71.066667
10011,Albany St @ Randolph St,42.340162,-71.064227
6537,Washington St @ Essex St,42.352288,-71.062581
place-chncl,Chinatown,42.352547,-71.062752
9981,Beacon St opp Walnut St,42.356954,-71.065766
10000,Tremont St opp Temple Pl,42.355692,-71.062911
place-pktrm,Park Street,42.35639457,-71.0624242
1228,Tremont St @ Hammond St,42.337226,-71.084022
1254,Tremont St @ Burke St,42.336908,-71.0848
11,Melnea Cass Blvd @ Kerr Way,42.334763,-71.084459
1255,Tremont St @ Columbus Ave,42.335779,-71.086948
1227,Tremont St @ Melnea Cass Blvd,42.335698,-71.086826
34513,Huntington Ave @ Mass Ave,42.342525,-71.084937
70241,Symphony - Outbound,42.342687,-71.085056
34514,Huntington Ave @ Mass Ave,42.342899,-71.084976
82,Massachusetts Ave @ Huntington Ave,42.342478,-71.084701
91317,Huntington Ave @ Gainsborough St,42.341244,-71.08651
5,Washington St @ Massachusetts Ave,42.336339,-71.07707
60,Washington St @ Lenox St,42.334963,-71.078951
4,Washington St @ Lenox St,42.334949,-71.078873
1791,Harrison Ave @ E Lenox St,42.33353,-71.077233
855,Massachusetts Ave @ Albany St,42.333353,-71.073424
10100,Albany St @ Randall St,42.331675,-71.076347
10003,Albany St opp Randall St,42.331591,-71.076237
80000,cabot garage,42.33892,-71.058489
16538,Bedford St @ Chauncy St,42.353262,-71.059643
8279,Tremont St @ Boylston Station,42.353247,-71.064353
49001,Temple Pl @ Washington St,42.355385,-71.062211
9982,Beacon St @ Park St,42.357656,-71.06328
70020,Downtown Crossing - to Forest Hills,42.355518,-71.060225
17861,Ruggles Sta - Upper Level,42.336377,-71.088961
11593,Ruggles St opp Kerr Way,42.333186,-71.086016
1593,Ruggles St @ Shawmut Ave,42.332076,-71.084203
77777,Melnea Cass Blvd @ Washington St,42.332906,-71.081253
61,Washington St @ Melnea Cass Blvd,42.332781,-71.081246
11592,Ruggles St @ Cabot St,42.333862,-71.087173
Ruggles,Ruggles,42.336505,-71.089189
80,Massachusetts Ave opp Christian Science Ctr,42.344366,-71.086458
31391,Huntington Ave @ Gainsborough St,42.341443,-71.086788
81317,360 Huntington Ave,42.340401,-71.088806
3,Washington St @ Melnea Cass Blvd - Silver Line,42.333021,-71.080799
11792,Harrison Ave @ Melnea Cass Blvd,42.332146,-71.079293
7,Melnea Cass Blvd @ Washington St,42.333043,-71.081108
10101,Melnea Cass Blvd @ Harrison Ave,42.332066,-71.079147
1489,Dudley St @ Dearborn St,42.328523,-71.079127
2,Washington St @ Melnea Cass Blvd,42.332324,-71.081252
30294,250 Dorchester Avenue,42.339299,-71.057007
269,W 7th St @ B St,42.338065,-71.056782
250,B St @ W 5th St,42.339575,-71.055477
292,W 7th St @ C St,42.337181,-71.055242
152,W Broadway @ A St,42.341682,-71.055418
153,W Broadway @ B St,42.340642,-71.053809
70081,Broadway - Outbound,42.342622,-71.056967
16535,Otis St @ Summer St,42.354243,-71.058557
6567,Washington St @ Essex St,42.352461,-71.062552
49703,Cambridge St @ Center Plaza - Gov't Ctr,42.359473,-71.059903
6539,350 Washington St,42.356733,-71.058942
1798,Ruggles St @ Parker St,42.337061,-71.09382
11149,Malcolm X Blvd @ O'Bryant HS,42.33068,-71.0882
63,Washington St @ Ruggles St,42.331035,-71.082875
62,Washington St @ Williams St,42.332045,-71.081738
64000,Dudley Station,42.329544,-71.083982
1148,Malcolm X Blvd @ Shawmut Ave,42.329687,-71.08613
6,Melnea Cass Blvd @ Harrison Ave,42.332016,-71.079576
1,Washington St opp Ruggles St,42.330957,-71.082754
1785,Ruggles St @ Annunciation Rd,42.336729,-71.093223
91,Massachusetts Ave @ Clearway St,42.345331,-71.086739
11391,Boylston St @ Massachusetts Ave,42.347386,-71.087495
1931,Ipswich St @ Boylston St,42.346945,-71.089362
1488,Dudley St @ Adams St,42.327844,-71.077494
1495,Dudley St @ Adams St,42.327602,-71.077403
21151,Warren St @ Kearsarge Ave,42.327349,-71.083021
1496,381 Dudley St opp Hampden St,42.326122,-71.075452
251,B St @ W 6th St,42.338955,-71.056199
249,B St @ Silver St,42.340515,-71.054339
291,W 7th St @ D St,42.336362,-71.054006
162,W Broadway @ C St,42.339917,-71.052494
293,W 7th @ B Street,42.338194,-71.05677
252,W 7th St @ C St,42.337229,-71.055505
253,W 7th St @ D St,42.336252,-71.054025
290,W 6th St @ D St,42.336832,-71.053007
254,W 7th St @ E St,42.33525,-71.052445
11532,W Broadway @ Linsky Barry Ct,42.339673,-71.052303
163,W Broadway @ B St,42.340909,-71.054036
161,W Broadway @ D St,42.338923,-71.050952
6535,Franklin St @ Devonshire St,42.355521,-71.057253
16539,Milk St @ Devonshire St,42.356727,-71.05748
6538,Essex St @ Atlantic Ave,42.35176,-71.056003
70201,Government Center - Green Line Eastbound,42.359705,-71.059215
70041,State Street - to Bowdoin,42.358978,-71.057598
28310,Cambridge St @ Saltonstall Bldg - Bowdoin Sq,42.360962,-71.061654
6548,Devonshire St @ Milk St,42.356837,-71.057414
49704,Tremont St @ Beacon St,42.358108,-71.060394
6547,Devonshire St @ State St,42.3586,-71.057309
1799,Ruggles St @ Huntington Ave,42.337523,-71.095101
70246,Museum of Fine Arts - Inbound,42.337711,-71.095512
61391,Huntington Ave @ Forsyth Way,42.339219,-71.092168
81391,Huntington Ave @ Evans Way,42.336885,-71.098086
1259,Malcolm X Blvd opp Madison Park HS,42.330975,-71.089858
1146,42 Dudley St,42.329396,-71.089128
11259,Malcolm X Blvd @ Shawmut Ave,42.329483,-71.086203
1149,205 Roxbury St,42.330096,-71.091343
1178,Washington St @ Bartlett St,42.327638,-71.087124
64,Dudley Station,42.329789,-71.083887
1491,Dudley St @ Warren St,42.328655,-71.082962
1147,Dudley St @ Shawmut Ave,42.328969,-71.086206
1175,Washington St @ St James St,42.327276,-71.087149
1932,Boylston St @ Saint Cecilia St,42.347484,-71.086869
31918,Ipswich St @ Boylston St,42.347033,-71.089273
79,Massachusetts Ave @ Newbury St,42.347888,-71.087903
1930,Ipswich St @ Charlesgate East,42.347441,-71.091268
1920,Ipswich St @ Charlesgate East,42.347531,-71.091822
11390,Dalton St @ Boylston St,42.347779,-71.085476
1577,Blue Hill Ave @ Mt Pleasant Ave,42.325122,-71.07517
1497,Dudley St @ Blue Hill Ave,42.325078,-71.074964
399,Warren St opp Kearsage Ave,42.327386,-71.08331
1575,Blue Hill Ave @ Winthrop St,42.323504,-71.076161
1493,Dudley St @ Greenville St,42.328434,-71.08101
1487,Dudley St @ Hampden St,42.326245,-71.075411
1576,Blue Hill Ave @ Dudley St,42.325122,-71.075019
1498,Dudley St @ Dennis St,42.323643,-71.073931
1579,Blue Hill Ave opp Stafford St,42.322139,-71.077232
