x1,y1,z1,x2,y2,z2,x3,y3,z3
-71.1902,42.2826,-6431.269492,-71.1846,42.2882,12.5482429,-71.179,42.2798,13
-71.1874,42.2826,-6599.56139,-71.1818,42.277,15.41077855,-71.1762,42.2798,30
-71.1874,42.2854,-6656.128607,-71.1818,42.2798,14.1269946,-71.1762,42.291,1
-71.1846,42.2798,-6724.763009,-71.1818,42.2826,17.50385237,-71.1762,42.2938,3
-71.1846,42.2826,-6781.696182,-71.1818,42.2882,13.80039692,-71.1734,42.2686,15
-71.1846,42.2854,-6835.682655,-71.1818,42.291,12.8610419,-71.1734,42.2742,20
-71.1846,42.2882,-6889.005744,-71.179,42.2798,14.82536449,-71.1734,42.277,32
-71.1818,42.277,-6872.414657,-71.179,42.2882,14.79387427,-71.1734,42.2854,1
-71.1818,42.2798,-6931.487683,-71.179,42.291,13.28024586,-71.1734,42.2882,3
-71.1818,42.2826,-6980.996172,-71.179,42.2938,12.77223836,-71.1734,42.291,7
-71.1818,42.2854,-7028.489006,-71.1762,42.2798,15.28301733,-71.1734,42.3498,24
-71.1818,42.2882,-7077.720177,-71.1762,42.291,14.38400113,-71.1734,42.3526,122
-71.1818,42.291,-7129.595834,-71.1762,42.2938,11.40087596,-71.1706,42.2686,130
-71.179,42.2798,-7172.460089,-71.1734,42.2686,14.1593071,-71.1706,42.2714,24
-71.179,42.2826,-7201.51441,-71.1734,42.2742,12.75274792,-71.1706,42.2742,32
-71.179,42.2854,-7235.615268,-71.1734,42.277,13.01758033,-71.1706,42.277,8
-71.179,42.2882,-7277.73527,-71.1734,42.2798,15.21947478,-71.1706,42.2798,180
-71.179,42.291,-7326.348794,-71.1734,42.2826,17.6075218,-71.1706,42.2826,35
-71.179,42.2938,-7379.739568,-71.1734,42.2854,14.41385243,-71.1706,42.2854,36
-71.1762,42.2798,-7469.451715,-71.1734,42.2882,12.29705529,-71.1706,42.2882,20
-71.1762,42.2826,-7445.054604,-71.1734,42.2938,15.4111132,-71.1706,42.291,2
-71.1762,42.2854,-7456.046966,-71.1734,42.3498,13.59249828,-71.1706,42.2938,21
-71.1762,42.2882,-7488.698133,-71.1734,42.3526,13.62073173,-71.1706,42.2966,1
-71.1762,42.291,-7533.408064,-71.1706,42.2658,16.198101,-71.1706,42.2994,4
-71.1762,42.2938,-7585.41583,-71.1706,42.2686,13.04956761,-71.1706,42.347,40
-71.1734,42.2686,-7541.49252,-71.1706,42.2714,12.80574452,-71.1706,42.3498,72
-71.1734,42.2742,-7939.600435,-71.1706,42.2742,17.73743154,-71.1706,42.3526,96
-71.1734,42.277,-8582.4754,-71.1706,42.277,13.27381249,-71.1706,42.3554,46
-71.1734,42.2798,-7841.749643,-71.1706,42.2798,14.06790218,-71.1678,42.263,13
-71.1734,42.2826,-7698.435455,-71.1706,42.2826,12.80696925,-71.1678,42.2658,55
-71.1734,42.2854,-7684.99173,-71.1706,42.2854,12.77965659,-71.1678,42.2686,7
-71.1734,42.2882,-7709.84032,-71.1706,42.2882,12.70110072,-71.1678,42.2714,28
-71.1734,42.291,-7751.482084,-71.1706,42.291,12.71517679,-71.1678,42.2742,39
-71.1734,42.2938,-7802.206082,-71.1706,42.2938,12.87045718,-71.1678,42.277,98
-71.1734,42.2966,-7858.864064,-71.1706,42.2966,16.02494913,-71.1678,42.2798,21
-71.1734,42.3498,-9474.604219,-71.1706,42.2994,12.26268925,-71.1678,42.2826,39
-71.1734,42.3526,-9317.051838,-71.1706,42.347,13.03080955,-71.1678,42.2854,37
-71.1706,42.2658,-7640.129506,-71.1706,42.3498,13.36671406,-71.1678,42.2882,23
-71.1706,42.2686,-7907.243634,-71.1706,42.3526,13.5281907,-71.1678,42.291,28
-71.1706,42.2714,-8500.952222,-71.1706,42.3554,13.09608618,-71.1678,42.2938,10
-71.1706,42.2742,-8639.292124,-71.1678,42.263,12.96250448,-71.1678,42.2966,2
-71.1706,42.277,-8304.315885,-71.1678,42.2658,12.88284629,-71.1678,42.2994,23
-71.1706,42.2798,-8044.277865,-71.1678,42.2686,12.67577167,-71.1678,42.3358,1
-71.1706,42.2826,-7931.266085,-71.1678,42.2714,12.76446828,-71.1678,42.3386,8
-71.1706,42.2854,-7918.236327,-71.1678,42.2742,13.12096783,-71.1678,42.3442,25
-71.1706,42.2882,-7942.164964,-71.1678,42.277,13.17522233,-71.1678,42.347,36
-71.1706,42.291,-7982.772483,-71.1678,42.2798,13.34667105,-71.1678,42.3498,151
-71.1706,42.2938,-8032.466345,-71.1678,42.2826,12.92775415,-71.1678,42.3526,60
-71.1706,42.2966,-8088.081799,-71.1678,42.2854,12.93229553,-71.1678,42.3554,32
